 Dec |   Bin  | Oct | Hex  |  Dec |   Bin  | Oct | Hex  | 
 ------------------------  | ------------------------  |
  01 | 000001 | 001 | 01   |   02 | 000010 | 002 | 02
  03 | 000011 | 003 | 03   |   04 | 000100 | 004 | 04
  05 | 000101 | 005 | 05   |   06 | 000110 | 006 | 06
  07 | 000111 | 007 | 07   |   08 | 001000 | 010 | 08
  09 | 001001 | 011 | 09   |   10 | 001010 | 012 | 0a
  11 | 001011 | 013 | 0b   |   12 | 001100 | 014 | 0c
  13 | 001101 | 015 | 0d   |   14 | 001110 | 016 | 0e
  15 | 001111 | 017 | 0f   |   16 | 010000 | 020 | 10
  17 | 010001 | 021 | 11   |   18 | 010010 | 022 | 12
  19 | 010011 | 023 | 13   |   20 | 010100 | 024 | 14
  21 | 010101 | 025 | 15   |   22 | 010110 | 026 | 16
  23 | 010111 | 027 | 17   |   24 | 011000 | 030 | 18
  25 | 011001 | 031 | 19   |   26 | 011010 | 032 | 1a
  27 | 011011 | 033 | 1b   |   28 | 011100 | 034 | 1c
  29 | 011101 | 035 | 1d   |   30 | 011110 | 036 | 1e
  31 | 011111 | 037 | 1f   |   32 | 100000 | 040 | 20
  33 | 100001 | 041 | 21   |   34 | 100010 | 042 | 22
  35 | 100011 | 043 | 23   |   36 | 100100 | 044 | 24
  37 | 100101 | 045 | 25   |   38 | 100110 | 046 | 26
  39 | 100111 | 047 | 27   |   40 | 101000 | 050 | 28
  41 | 101001 | 051 | 29   |   42 | 101010 | 052 | 2a
  43 | 101011 | 053 | 2b   |   44 | 101100 | 054 | 2c
  45 | 101101 | 055 | 2d   |   46 | 101110 | 056 | 2e
  47 | 101111 | 057 | 2f   |   48 | 110000 | 060 | 30
  49 | 110001 | 061 | 31   |   50 | 110010 | 062 | 32
  51 | 110011 | 063 | 33   |   52 | 110100 | 064 | 34
  53 | 110101 | 065 | 35   |   54 | 110110 | 066 | 36
  55 | 110111 | 067 | 37   |   56 | 111000 | 070 | 38
  57 | 111001 | 071 | 39   |   58 | 111010 | 072 | 3a
  59 | 111011 | 073 | 3b   |   60 | 111100 | 074 | 3c
  61 | 111101 | 075 | 3d   |   62 | 111110 | 076 | 3e
  63 | 111111 | 077 | 3f   |   64 | 1000000 | 100 | 40
